word,emotion
happy,joy
joyful,joy
ecstatic,joy
delighted,joy
cheerful,joy
thrilled,joy
pleased,joy
content,joy
blissful,joy
elated,joy
jubilant,joy
radiant,joy
smiling,joy
merry,joy
upbeat,joy
sunny,joy
buoyant,joy
playful,joy
lively,joy
grateful,joy
blessed,joy
beaming,joy
gleeful,joy
satisfied,joy
laughing,joy
rejoicing,joy
celebrating,joy
dancing,joy
singing,joy
grinning,joy
joy,joy
delight,joy
bliss,joy
laughter,joy
celebration,joy
euphoria,joy
triumph,joy
sunshine,joy
warmth,joy
cheer,joy
mirth,joy
gladness,joy
pleasure,joy
sparkling,joy
bright,joy
cheery,joy
vibrant,joy
hopeful,joy
enjoyed,joy
thankful,joy
angry,anger
furious,anger
enraged,anger
irritated,anger
annoyed,anger
resentful,anger
bitter,anger
hostile,anger
wrathful,anger
raging,anger
infuriated,anger
livid,anger
upset,anger
seething,anger
glaring,anger
snapped,anger
shouted,anger
cursed,anger
fumed,anger
ranted,anger
stormed,anger
quarrelsome,anger
aggressive,anger
spiteful,anger
exasperated,anger
abrasive,anger
snarled,anger
glared,anger
protested,anger
attacked,anger
bickered,anger
incensed,anger
provoked,anger
offended,anger
heated,anger
snappy,anger
combative,anger
grudging,anger
venomous,anger
harsh,anger
tantrum,anger
outrage,anger
fury,anger
quarrel,anger
cross,anger
grumpy,anger
belligerent,anger
fractious,anger
irate,anger
mad,anger
sad,sadness
sorrowful,sadness
miserable,sadness
gloomy,sadness
heartbroken,sadness
lonely,sadness
grief,sadness
crying,sadness
cried,sadness
weeping,sadness
tearful,sadness
downcast,sadness
bleak,sadness
despondent,sadness
depressed,sadness
mournful,sadness
lost,sadness
wounded,sadness
shattered,sadness
abandoned,sadness
hopeless,sadness
empty,sadness
blue,sadness
glum,sadness
fragile,sadness
regretful,sadness
pained,sadness
broken,sadness
anguish,sadness
despair,sadness
sobbing,sadness
mourning,sadness
mourned,sadness
lamented,sadness
sorrow,sadness
griefstricken,sadness
forlorn,sadness
aching,sadness
remorseful,sadness
tragic,sadness
melancholy,sadness
troubled,sadness
drained,sadness
devastated,sadness
hurt,sadness
downtrodden,sadness
wistful,sadness
grieving,sadness
crushed,sadness
sorrowing,sadness
afraid,fear
scared,fear
terrified,fear
anxious,fear
nervous,fear
worried,fear
panicked,fear
uneasy,fear
frightened,fear
alarmed,fear
dread,fear
fearful,fear
timorous,fear
tense,fear
shaky,fear
wary,fear
hesitant,fear
alarm,fear
terror,fear
horror,fear
quake,fear
tremble,fear
cower,fear
froze,fear
startled,fear
quivered,fear
shuddered,fear
flinched,fear
fled,fear
hid,fear
escaped,fear
jittery,fear
apprehensive,fear
concerned,fear
spooked,fear
threatened,fear
haunted,fear
timid,fear
vigilant,fear
insecure,fear
nervousness,fear
fright,fear
panic,fear
petrified,fear
restless,fear
watchful,fear
uncertain,fear
paranoid,fear
disturbed,fear
cautious,fear
calm,neutral
steady,neutral
ordinary,neutral
normal,neutral
average,neutral
typical,neutral
simple,neutral
moderate,neutral
balanced,neutral
centered,neutral
even,neutral
quiet,neutral
routine,neutral
regular,neutral
neutral,neutral
standard,neutral
bland,neutral
mild,neutral
composed,neutral
still,neutral
factual,neutral
basic,neutral
plain,neutral
common,neutral
everyday,neutral
generic,neutral
usual,neutral
settled,neutral
level,neutral
unremarkable,neutral
unchanged,neutral
passive,neutral
direct,neutral
objective,neutral
mundane,neutral
report,neutral
note,neutral
item,neutral
data,neutral
record,neutral
mention,neutral
observe,neutral
remain,neutral
pause,neutral
wait,neutral
stand,neutral
sit,neutral
walk,neutral
state,neutral
list,neutral